all_hgvs,all_motor_vehicles,buses_and_coaches,cars_and_taxis,count_point_id,easting,end_junction_road_name,estimation_method,estimation_method_detailed,hgvs_2_rigid_axle,hgvs_3_or_4_articulated_axle,hgvs_3_rigid_axle,hgvs_4_or_more_rigid_axle,hgvs_5_articulated_axle,hgvs_6_articulated_axle,id,latitude,lgvs,link_length_km,link_length_miles,local_authority_id,longitude,northing,pedal_cycles,region_id,road_category,road_name,road_type,start_junction_road_name,two_wheeled_motor_vehicles,year
169,19399,102,16102,522,312000,A4161,Estimated,Estimated using AADF from previous year on this link,100,12,19,17,9,13,562,51.46729038,2904,4.60,2.86,19,-3.26825910,175021,57,4,PA,A48,Major,A4232 / A4050,122,2024
73,7090,145,5969,638,317670,Tudor Street,Counted,Manual count,45,1,16,0,5,6,2327,51.47245104,858,0.80,0.50,19,-3.18676306,175500,305,4,PA,A4119,Major,A4160,46,2024
257,29340,26,25786,642,319033,A4161 Newport Rd,Estimated,Estimated using AADF from previous year on this link,162,8,32,14,11,30,2406,51.47987592,3121,0.50,0.31,19,-3.16732782,176304,435,4,PA,A4160,Major,A4234 Central Link,150,2024
220,19631,52,16473,10527,315040,A4119,Estimated,Estimated using AADF from previous year on this link,116,26,35,18,18,6,48757,51.48981635,2801,1.40,0.87,19,-3.22509595,177475,69,4,PA,A48,Major,A4161,86,2024
39,6771,61,5675,10629,314860,Pantmawr Rd,Estimated,Estimated using AADF from previous year on this link,37,0,2,0,0,0,50441,51.51248790,947,3.10,1.93,19,-3.22829875,180000,180,4,PA,A4054,Major,A4119,49,2024
193,19210,224,16288,10655,315350,A4054,Estimated,Estimated using AADF from previous year on this link,116,5,28,28,5,11,50838,51.49458242,2388,0.70,0.43,19,-3.22075815,178000,185,4,PA,A4119,Major,A48,117,2024
792,48359,284,40183,20527,320000,A4161,Estimated,Estimated using AADF from previous year on this link,386,30,94,85,44,152,96869,51.50213736,6960,4.40,2.73,19,-3.15396504,178765,1,4,PA,A48,Major,A469 / A470,141,2024
261,17484,630,14231,20548,317940,Colum Rd,Estimated,Estimated using AADF from previous year on this link,159,19,29,21,22,11,97149,51.48597489,2213,1.30,0.81,19,-3.18322535,177000,938,4,PA,A470,Major,A4161 Boulevard de Nantes,149,2024
2967,73067,237,61072,30528,322694,A48M jn29a,Counted,Manual count,651,145,208,226,214,1523,145573,51.53074060,8520,1.50,0.93,19,-3.11585003,181905,2,4,PA,A48,Major,A4232,271,2024
44,2903,92,2313,30631,313600,B4262 roundabout,Estimated,Estimated using AADF from previous year on this link,35,2,3,4,0,0,147152,51.53027490,430,2.00,1.24,19,-3.24694235,182000,170,4,PA,A4054,Major,M4/A470 roundabout,24,2024
196,13602,192,11565,30659,314920,B4262 Heol Isaf,Estimated,Estimated using AADF from previous year on this link,64,1,20,96,9,6,147527,51.49721469,1574,2.10,1.30,19,-3.22702329,178300,140,4,PA,A4119,Major,A4054,76,2024
78,6345,138,5406,30660,318000,A4160,Estimated,Estimated using AADF from previous year on this link,48,1,25,4,0,0,147552,51.46800421,690,1.80,1.12,19,-3.18189678,175000,102,4,PA,A4119,Major,A4232,33,2024
