id,count_point_id,aadf_year,region_id,local_authority_id,road_name,road_type,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,link_length_km,link_length_miles
522,522,2024,4,19,A48,Major,A4232 / A4050,A4161,312000,175021,51.46729038,-3.26825910,4.60,2.86
638,638,2024,4,19,A4119,Major,A4160,Tudor Street,317670,175500,51.47245104,-3.18676306,0.80,0.50
642,642,2024,4,19,A4160,Major,A4234 Central Link,A4161 Newport Rd,319033,176304,51.47987592,-3.16732782,0.50,0.31
10527,10527,2024,4,19,A48,Major,A4161,A4119,315040,177475,51.48981635,-3.22509595,1.40,0.87
10629,10629,2024,4,19,A4054,Major,A4119,Pantmawr Rd,314860,180000,51.51248790,-3.22829875,3.10,1.93
10655,10655,2024,4,19,A4119,Major,A48,A4054,315350,178000,51.49458242,-3.22075815,0.70,0.43
20527,20527,2024,4,19,A48,Major,A469 / A470,A4161,320000,178765,51.50213736,-3.15396504,4.40,2.73
20548,20548,2024,4,19,A470,Major,A4161 Boulevard de Nantes,Colum Rd,317940,177000,51.48597489,-3.18322535,1.30,0.81
30528,30528,2024,4,19,A48,Major,A4232,A48M jn29a,322694,181905,51.53074060,-3.11585003,1.50,0.93
30631,30631,2024,4,19,A4054,Major,M4/A470 roundabout,B4262 roundabout,313600,182000,51.53027490,-3.24694235,2.00,1.24
30659,30659,2024,4,19,A4119,Major,A4054,B4262 Heol Isaf,314920,178300,51.49721469,-3.22702329,2.10,1.30
30660,30660,2024,4,19,A4119,Major,A4232,A4160,318000,175000,51.46800421,-3.18189678,1.80,1.12
40549,40549,2024,4,19,A470,Major,Colum Rd,A48 Eastern Avenue/A469 Whitchurch Rd,317012,178840,51.50238035,-3.19702062,1.50,0.93
40582,40582,2024,4,19,A469,Major,A4161,A48,318000,178260,51.49731065,-3.18265449,3.80,2.36
40655,40655,2024,4,19,A4160,Major,LA Boundary,A4119,317430,174970,51.46765147,-3.19009383,1.80,1.12
40656,40656,2024,4,19,A4161,Major,A4160 Fitzalan Place,A469 Albany Rd,319475,177000,51.48619597,-3.16112318,1.30,0.81
50509,50509,2024,4,19,A4232,Major,A48/A4050,B4267 mid-junction,312721,174836,51.46573921,-3.25783616,4.70,2.92
50524,50524,2024,4,19,A48,Major,A4161,A4232,320757,180170,51.51487450,-3.14337810,2.80,1.74
50527,50527,2024,4,19,A48,Major,A4119,A469 / A470,316017,178107,51.49564387,-3.21117780,2.00,1.24
50541,50541,2024,4,19,A470,Major,A48 overpass,Pantmawr Rd,315785,180393,51.51615959,-3.21506621,3.30,2.05
50612,50612,2024,4,19,M4,Major,33,32,310179,180004,51.51179727,-3.29573671,5.50,3.42
50647,50647,2024,4,19,A4119,Major,Tudor St,A4161 Cowbridge Road East,317550,176200,51.47872634,-3.18865389,0.50,0.31
50651,50651,2024,4,19,A4119,Major,A4161,A48,316145,177395,51.48926226,-3.20916488,2.20,1.37
70055,70055,2024,4,19,A4161,Major,A470,A4160,318590,176840,51.48463059,-3.17382916,1.00,0.62
73226,73226,2024,4,19,A48,Major,A48M,LA Boundary,324000,182100,51.53267175,-3.09706786,1.40,0.87
73227,73227,2024,4,19,A48(M),Major,29,LA Boundary,323750,182250,51.53398633,-3.10070402,1.10,0.68
73228,73228,2024,4,19,M4,Major,30,LA Boundary,322500,183090,51.54136659,-3.11890771,1.40,0.87
73229,73229,2024,4,19,A4054,Major,A470,LA Boundary,312706,182777,51.53712169,-3.26001962,0.30,0.19
73230,73230,2024,4,19,A470,Major,A4054,LA Boundary,312720,182785,51.53719577,-3.25981981,0.20,0.12
